manufacturer,model,year,city,body,mileage,transmission,wheel,color,drive,price,volume,fuel
Mercedes-Benz,1993,1993,Ленгер,седан,,механика,слева,бордовый,задний привод,1700000,2.0,газ-бензин
Toyota,HiAce,1995,Алматы,минивэн,,автомат,справа,белый,полный привод,3000000,3.0,дизель
Mitsubishi,Lancer,2006,Алматы,седан,,механика,слева,серый,передний привод,2250000,1.6,бензин
Volkswagen,Polo,2015,Нур-Султан (Астана),седан,81000.0,автомат,слева,,передний привод,4200000,1.6,бензин
Toyota,Land Cruiser Prado,2019,Нур-Султан (Астана),внедорожник,9900.0,автомат,слева,белый,полный привод,25000000,2.7,бензин
ВАЗ (Lada),2170 (седан),2013,Шымкент,седан,,механика,слева,белый металлик,передний привод,1950000,1.6,бензин
Infiniti,M35,2007,Нур-Султан (Астана),седан,215.0,автомат,слева,коричневый металлик,полный привод,4800000,3.5,газ-бензин
Renault,Logan,2020,Уральск,седан,,автомат,слева,серый,передний привод,7331000,1.6,бензин
Kia,Rio,2014,Алматы,седан,101122.0,автомат,слева,белый,передний привод,4750000,1.6,бензин
Renault,Duster,2020,Караганда,кроссовер,,механика,слева,,полный привод,8843000,2.0,бензин
Volkswagen,Bora,2002,Темиртау,седан,,механика,слева,синий металлик,передний привод,2000000,1.9,дизель
Renault,Logan,2020,Нур-Султан (Астана),седан,16000.0,автомат,слева,черный,передний привод,5990000,1.6,бензин
Toyota,Land Cruiser,2008,Усть-Каменогорск,внедорожник,20000.0,механика,слева,бежевый,полный привод,20000000,4.5,бензин
Lexus,LX 570,2014,Семей,внедорожник,161000.0,автомат,слева,белый,полный привод,25000000,5.7,бензин
Toyota,Camry,2006,Кызылорда,седан,,автомат,слева,белый,передний привод,4850000,2.4,бензин
Toyota,Hilux Surf,1996,Павлодар,внедорожник,,автомат,справа,черный,полный привод,3600000,2.7,газ-бензин
Renault,Logan,2020,Алматы,седан,,механика,слева,белый,передний привод,6068000,1.6,бензин
Chevrolet,Niva,2013,Актобе,внедорожник,,механика,слева,синий,полный привод,2430000,1.7,газ-бензин
Renault,Duster,2020,Атырау,кроссовер,,автомат,слева,,полный привод,9514000,2.0,бензин
Porsche,Cayenne,2011,Караганда,кроссовер,128000.0,автомат,слева,белый металлик,полный привод,12500000,3.0,бензин
Toyota,Corolla,2013,Алматы,седан,135000.0,автомат,слева,белый,передний привод,5700000,1.6,бензин
Skoda,Octavia,2006,Степногорск,хэтчбек,,автомат,слева,серебристый металлик,передний привод,3200000,2.0,бензин
Lifan,Myway,2018,Нур-Султан (Астана),кроссовер,19000.0,механика,слева,серый,задний привод,5000000,1.8,бензин
Mazda,Bongo Friendee,1997,Каскелен,минивэн,400000.0,автомат,справа,серебристый,задний привод,2300000,2.0,бензин
Kia,Picanto,2013,Нур-Султан (Астана),хэтчбек,144000.0,автомат,слева,черный,передний привод,3890000,1.2,бензин
Toyota,Land Cruiser Prado,1998,Усть-Каменогорск,внедорожник,230000.0,автомат,справа,белый,полный привод,5200000,2.7,бензин
Hyundai,Tucson,2019,Алматы,кроссовер,,автомат,слева,серебристый металлик,передний привод,10800000,2.0,бензин
Audi,Q3,2020,Нур-Султан (Астана),кроссовер,,автомат,слева,синий,полный привод,26368200,2.0,бензин
Renault,Logan,2020,Костанай,седан,,механика,слева,,передний привод,6248000,1.6,бензин
Toyota,RAV 4,2010,Актау,кроссовер,200000.0,автомат,слева,черный,полный привод,7450000,2.5,бензин
Subaru,Forester,2003,Алматы,кроссовер,395000.0,автомат,слева,зеленый металлик,полный привод,3499999,2.0,бензин
Kia,Optima,2012,Нур-Султан (Астана),седан,120000.0,автомат,слева,серый,передний привод,6600000,2.0,бензин
Hyundai,ix35,2014,Нур-Султан (Астана),кроссовер,73000.0,автомат,слева,серебристый,полный привод,7590000,2.0,бензин
Opel,Vectra,1990,Кентау,седан,,механика,слева,серый,передний привод,650000,1.6,бензин
ВАЗ (Lada),2192 (хэтчбек),2015,Караганда,хэтчбек,48000.0,механика,слева,серебристый,передний привод,2400000,1.6,бензин
ВАЗ (Lada),2190 (седан),2014,Туркестан,седан,98000.0,механика,слева,белый металлик,передний привод,2400000,1.6,газ-бензин
ВАЗ (Lada),2121 Нива,2017,Нур-Султан (Астана),внедорожник,8000.0,механика,слева,серый металлик,полный привод,4800000,1.7,бензин
Daewoo,Nexia,2006,Петропавловск,седан,,механика,слева,красный металлик,передний привод,680000,1.6,бензин
ГАЗ,Соболь,2010,Уральск,минивэн,,механика,слева,синий металлик,задний привод,2600000,2.9,газ-бензин
Subaru,Legacy,1995,Алматы,универсал,,автомат,справа,синий,полный привод,2100000,2.5,бензин
Volkswagen,Passat,1997,Нур-Султан (Астана),седан,,автомат,слева,вишня металлик,передний привод,2300000,2.0,бензин
ВАЗ (Lada),2170 (седан),2014,Шымкент,седан,,механика,слева,белый,передний привод,2500000,1.6,бензин
Nissan,Cefiro,1995,Семей,седан,,автомат,справа,синий,передний привод,1050000,2.0,бензин
Renault,Logan,2020,Нур-Султан (Астана),седан,,механика,слева,,передний привод,7261000,1.6,бензин
Toyota,Camry,2012,Нур-Султан (Астана),седан,195000.0,автомат,слева,черный,передний привод,8490000,2.5,бензин
Renault,Duster,2013,Алматы,кроссовер,124000.0,механика,слева,серебристый,полный привод,3500000,2.0,бензин
Chevrolet,Aveo,2013,Нур-Султан (Астана),хэтчбек,115000.0,автомат,слева,черный,передний привод,3590000,1.6,бензин
BMW,528,1997,Алматы,седан,,автомат,слева,черный металлик,задний привод,2400000,2.5,бензин
